name,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
apir_ticker,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
31/01/2017,-0.024949629,-0.020970035,0.000734747,-0.032900429,-0.048831861,,-0.001868656,,-0.001668656,-0.038368656,-0.036468656,-0.032668656,0.009931344,0.009931344,-0.042668656,,-0.011004586,-0.0266,-0.0276,,-0.023636991,-0.026232018,-0.0242
28/02/2017,0.012491468,-0.008544825,-0.0080076,-0.017459376,-0.003501553,,0.009331344,,0.013831344,0.025131344,0.004831344,0.001131344,-0.000968656,0.005531344,-0.004968656,,0.013248879,0.0176,0.0281,,0.01450425,0.004672529,0.0015
31/03/2017,0.014175868,-0.010748711,-0.003805121,0.011446626,0.0145949,,0.037531344,,0.018531344,0.033931344,0.009631344,0.034631344,0.006031344,0.037731344,0.017531344,,0.02643625,0.0045,0.0189,,0.018169304,0.011869404,0.0111
28/04/2017,0.036335387,-0.018938865,0.00602152,0.024472501,0.031865179,,0.036831344,,0.045431344,0.026431344,0.033931344,0.047531344,-0.007768656,0.035031344,0.023731344,,0.055254267,0.0291,0.0427,,0.035799626,0.027058296,0.0315
31/05/2017,0.026496069,-0.024362275,-0.015563297,0.000270282,0.016461318,,0.047531344,,0.026031344,0.031131344,0.032531344,0.049131344,-0.006068656,0.046331344,0.002831344,,0.021556814,0.012,0.0389,,0.02751011,0.010756799,0.0149
30/06/2017,-0.028844654,0.018865956,0.011950343,-0.026319298,-0.03608655,,-0.033568656,,-0.022568656,-0.019968656,-0.033868656,-0.022068656,-0.003268656,-0.024668656,-0.007768656,,-0.031395892,-0.0199,-0.0421,,-0.0263611,-0.020085321,-0.0181
31/07/2017,-0.015958011,-0.002393943,-0.001501556,-0.029201119,-0.044546524,,-0.011668656,,-0.006268656,-0.027268656,-0.025868656,-0.020668656,0.003531344,-0.011568656,-0.026368656,,-0.017743464,-0.0224,-0.0234,,-0.016743591,-0.012703686,-0.0132
31/08/2017,0.00714242,-0.018825506,-0.002774494,0.022590779,0.018484234,,0.014031344,,0.004831344,-0.001068656,-0.005968656,0.008031344,0.005631344,0.012631344,-0.004568656,,0.00047348,-0.0028,0.0182,,0.008070772,0.002892758,-0.0031
29/09/2017,0.032826053,0.015751273,0.017466857,0.016771773,0.015975096,,0.038731344,,0.028531344,0.030731344,0.053331344,0.050031344,-0.002668656,0.013831344,0.020131344,,0.061830411,0.0406,0.0301,,0.034422263,0.045298971,0.052
31/10/2017,0.041500531,-0.017609104,-0.005122076,0.03568886,0.02790689,,0.033531344,,0.041331344,0.013231344,0.041131344,0.050531344,0.015831344,0.075331344,0.012531344,,0.057046175,0.0346,0.0548,,0.042811225,0.041161321,0.0384
30/11/2017,0.034283076,-0.001149504,0.000401071,0.019258077,0.017606982,,0.036431344,,0.019331344,0.052431344,0.029331344,0.018131344,-0.009668656,0.023131344,0.027431344,,0.042472042,0.0519,0.0399,,0.032326262,0.038166396,0.0343
29/12/2017,-0.019889233,0.00148964,0.002109415,-0.030442027,-0.031097244,,-0.015168656,,-0.026568656,-0.027768656,-0.022868656,-0.025368656,0.005931344,0.014431344,-0.023468656,-0.004292526,-0.015814341,-0.0205,-0.0201,,-0.017123401,-0.012220087,0.0039
31/01/2018,0.019979946,-0.01925873,-0.018401782,-0.020750535,-0.031739823,,0.037431344,,0.036031344,0.020831344,0.016631344,0.017631344,0.018031344,0.019431344,-0.010768656,0.029108124,0.017853379,0.0134,0.0201,,0.017510436,0.017142039,0.0183
28/02/2018,-0.010032522,-0.018660104,0.000951288,0.038982534,0.045622763,,-0.004368656,,-0.008468656,-0.019368656,-0.001868656,0.026631344,-0.008268656,-0.014568656,0.001931344,-0.007244845,0.002766046,-0.0113,0.0001,,-0.00408813,0.00443672,-0.0106
30/03/2018,-0.009046418,0.000405397,0.025396194,0.006154,0.018690998,,-0.002868656,,0.005731344,-0.007968656,0.004331344,0.008731344,-0.007968656,0.004531344,0.004631344,0.000585581,0.02032575,0.0056,-0.0031,,-0.005344225,-0.004775647,-0.0065
30/04/2018,0.029040315,0.003967866,-0.003129239,0.012622482,0.012682939,,0.011331344,,0.037031344,0.053531344,0.019831344,-0.002968656,0.005531344,0.012231344,0.033531344,0.018348299,-0.004370604,0.0211,0.0138,,0.027509195,0.035923114,0.0333
31/05/2018,0.002738342,-0.038193533,0.020070136,0.015695273,0.021367086,,0.015231344,0.016831344,0.028731344,-0.014968656,0.030331344,0.000731344,0.022931344,0.027331344,-0.025568656,0.013147367,0.034042363,0.0117,0.0247,,0.00367168,-0.02551141,-0.0154
29/06/2018,0.021660611,-0.001690588,-0.003644645,0.028742092,0.020643445,,0.017431344,0.019231344,0.015831344,0.015031344,0.003331344,-0.003868656,-0.023968656,-0.026068656,0.037031344,0.007277909,0.022636388,0.033,0.0238,,0.023270413,0.003615588,0.0095
31/07/2018,0.023646826,0.010744486,-0.021378592,-0.012478007,-0.012722172,,-0.004568656,0.016931344,0.007831344,0.010031344,0.022731344,0.024731344,0.001731344,0.002631344,0.012131344,0.0139393,0.009874209,0.0261,0.0293,,0.025150882,0.019523838,0.0322
31/08/2018,0.04647727,-0.03623003,0.008923235,0.050990818,0.038709424,,0.040131344,0.037131344,0.041131344,0.030531344,0.041331344,0.013531344,-0.012268656,-0.008368656,0.032031344,0.021394345,0.073113979,0.0555,0.0672,,0.041430913,0.018303397,0.0194
